time_utc,board_temp,board_volts_core,board_volts_sdram_c,board_volts_sdram_i,board_volts_sdram_p,board_throttled,gps_latitude,gps_longitude,gps_altitude,gps_ascending_rate,gps_speed,gps_heading,capsule_temp,capsule_humidity,capsule_pressure,capsule_baro_altitude,out_temp,out_humidity,out_pressure,out_baro_altitude
2021-04-27T19:36:57.249+00:00,46.5,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,7252.48,5.00,57.83,257.33,24.56,31.86,951.95114,465.79,24.72,29.58,951.12778,466.42
2021-04-27T19:36:59.747+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,7473.02,5.00,57.83,257.33,24.54,32.00,951.97443,465.86,24.72,29.59,951.10698,466.47
2021-04-27T19:37:02.261+00:00,45.5,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,7824.95,5.00,57.83,257.33,24.53,32.02,951.91951,465.70,24.71,29.58,951.10302,466.17
2021-04-27T19:37:04.787+00:00,46.0,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,8028.60,5.00,57.83,257.33,24.54,32.01,951.94612,465.75,24.72,29.51,951.10529,466.48
2021-04-27T19:37:07.323+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,8277.26,5.00,57.83,257.33,24.58,31.89,951.92893,465.86,24.73,29.58,951.13453,466.34
2021-04-27T19:37:09.931+00:00,46.5,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,8503.09,5.00,57.83,257.33,24.55,31.94,951.91785,465.84,24.72,29.58,951.09236,466.38
2021-04-27T19:37:12.436+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,8959.47,5.00,57.83,257.33,24.54,31.93,951.92478,465.86,24.71,29.58,951.10587,466.06
2021-04-27T19:37:14.962+00:00,47.1,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,9125.36,5.00,57.83,257.33,24.53,31.84,951.96444,465.79,24.70,29.58,951.10023,466.27
2021-04-27T19:37:17.492+00:00,44.9,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,9324.21,5.00,57.83,257.33,24.53,32.14,951.95140,465.85,24.71,29.60,951.11321,466.11
2021-04-27T19:37:20.224+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,9698.79,5.00,57.83,257.33,24.55,31.99,951.95583,465.81,24.71,29.61,951.09854,466.39
2021-04-27T19:37:22.739+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,9967.07,5.00,57.83,257.33,24.54,32.02,951.93478,465.81,24.71,29.62,951.08334,466.48
2021-04-27T19:37:25.304+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,10191.84,5.00,57.83,257.33,24.53,31.96,951.94975,466.08,24.71,29.61,951.10587,466.59
2021-04-27T19:37:27.823+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,10386.31,5.00,57.83,257.33,24.53,31.89,951.94005,465.85,24.70,29.65,951.09970,466.22
2021-04-27T19:37:30.349+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,10713.35,5.00,57.83,257.33,24.59,31.93,951.91481,465.70,24.72,29.60,951.11258,466.32
2021-04-27T19:37:33.070+00:00,48.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,10884.20,5.00,57.83,257.33,24.53,31.93,951.93145,465.87,24.71,29.63,951.11485,466.54
2021-04-27T19:37:35.587+00:00,47.6,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,11118.25,5.00,57.83,257.33,24.53,31.85,951.94446,465.67,24.71,29.67,951.11485,466.28
2021-04-27T19:37:38.121+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,11240.40,5.00,57.83,257.33,24.54,32.00,951.96971,465.80,24.70,29.64,951.11712,466.32
2021-04-27T19:37:40.650+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,11584.68,5.00,57.83,257.33,24.53,31.94,951.94528,465.73,24.75,29.56,951.12376,466.35
2021-04-27T19:37:43.384+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,11734.32,5.00,57.83,257.33,24.54,31.98,951.94809,465.77,24.72,29.64,951.08841,466.38
2021-04-27T19:37:45.915+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,11986.53,5.00,57.83,257.33,24.53,31.99,951.94807,465.90,24.71,29.52,951.07658,466.40
2021-04-27T19:37:48.486+00:00,47.6,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,12381.18,5.00,57.83,257.33,24.53,31.97,951.96306,465.99,24.70,29.58,951.09743,466.42
2021-04-27T19:37:51.018+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,12544.07,5.00,57.83,257.33,24.58,31.75,951.95222,465.77,24.72,29.56,951.11642,466.59
2021-04-27T19:37:53.798+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,12810.82,5.00,57.83,257.33,24.54,31.86,951.96139,465.64,24.72,29.55,951.07204,466.45
2021-04-27T19:37:56.344+00:00,47.6,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,13263.60,5.00,57.83,257.33,24.53,31.92,951.93643,465.52,24.72,29.57,951.08107,466.55
2021-04-27T19:37:58.879+00:00,48.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,13412.72,5.00,57.83,257.33,24.53,31.93,951.93340,465.55,24.72,29.61,951.05801,466.84
2021-04-27T19:38:01.407+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,13692.22,5.00,57.83,257.33,24.57,31.89,951.95084,465.55,24.71,29.55,951.08223,466.58
2021-04-27T19:38:03.962+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,13971.72,5.00,57.83,257.33,24.53,31.95,951.92645,465.74,24.73,29.55,951.11310,466.60
2021-04-27T19:38:06.509+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,14275.60,5.00,57.83,257.33,24.53,31.86,951.98800,465.64,24.72,29.58,951.09347,466.31
2021-04-27T19:38:09.035+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,14465.47,5.00,57.83,257.33,24.53,31.89,951.95306,465.69,24.71,29.58,951.11426,466.50
2021-04-27T19:38:11.546+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,14649.95,5.00,57.83,257.33,24.60,32.05,951.97415,465.92,24.72,29.58,951.05463,466.56
2021-04-27T19:38:14.212+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,14826.73,5.00,57.83,257.33,24.54,31.89,951.96805,465.65,24.74,29.50,951.07932,466.42
2021-04-27T19:38:16.726+00:00,48.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,15342.40,5.00,57.83,257.33,24.53,31.87,951.93006,465.87,24.72,29.54,951.10017,466.22
2021-04-27T19:38:19.259+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,15605.23,5.00,57.83,257.33,24.53,31.94,951.95834,466.03,24.72,29.59,951.09685,466.46
2021-04-27T19:38:21.785+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,15755.28,5.00,57.83,257.33,24.54,31.81,951.96334,465.47,24.73,29.63,951.09458,466.30
2021-04-27T19:38:24.312+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,16234.88,5.00,57.83,257.33,24.56,31.99,951.98107,465.62,24.75,29.49,951.11083,466.39
